DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-02-01T17:28:10.000+00:00,63.181,-149.502,75.1,1.1,Ml,,140,,,ak,ak10648718,1359740055624
2013-02-01T17:21:23.850+00:00,-24.077,-66.907,179.5,4.7,mb,,44,,,us,usc000ezp6,1359742303407
2013-02-01T17:08:26.790+00:00,-0.182,123.068,124.9,4.9,mb,,38,,,us,usc000ezp4,1359741756349
2013-02-01T16:56:22.500+00:00,38.754,-122.697,1.6,1.3,Md,,173,,,nc,nc71933176,1359737881434
2013-02-01T16:55:44.900+00:00,38.755,-122.704,1.2,1.2,Md,,137,,,nc,nc71933171,1359738850209
2013-02-01T16:48:22.400+00:00,36.151,-118.076,3.8,1.0,Ml,,90,,,ci,ci15279953,1359757548927
2013-02-01T16:25:19.200+00:00,33.028,-116.428,7.2,1.5,Ml,,94,,,ci,ci15279921,1359755289325
2013-02-01T16:21:50.000+00:00,63.345,-152.014,42.2,2.3,Ml,,101,,,ak,ak10648698,1359736733444
2013-02-01T16:19:24.000+00:00,38.826,-122.855,2.6,1.2,Md,,112,,,nc,nc71933131,1359742693524
2013-02-01T16:00:55.100+00:00,38.811,-122.823,2.4,1.8,Md,,50,,,nc,nc71933121,1359735669074
2013-02-01T16:00:35.000+00:00,35.451,-118.344,5.1,1.1,Ml,,54,,,ci,ci15279873,1359751271198
2013-02-01T15:58:05.100+00:00,37.481,-118.845,10.6,1.7,Md,,119,,,nc,nc71933116,1359736390487
2013-02-01T15:48:52.000+00:00,61.957,-148.937,15.8,1.3,Ml,,169,,,ak,ak10648689,1359733920382
2013-02-01T15:32:48.200+00:00,38.764,-122.609,2.3,1.6,Md,,166,,,nc,nc71933101,1359734767323
2013-02-01T15:29:32.000+00:00,61.705,-150.488,47.2,1.5,Ml,,187,,,ak,ak10648684,1359733015320
2013-02-01T14:51:04.000+00:00,62.302,-151.167,129.6,1.6,Ml,,238,,,ak,ak10648681,1359730654661
2013-02-01T14:41:24.400+00:00,34.050,-117.189,7.0,1.9,Ml,,227,,,ci,ci15279857,1359749181984
2013-02-01T14:29:27.000+00:00,61.747,-151.393,37.9,1.7,Ml,,112,,,ak,ak10648676,1359729142837
2013-02-01T14:13:17.600+00:00,38.815,-122.820,2.9,1.2,Md,,72,,,nc,nc71933056,1359728885958
2013-02-01T14:08:21.100+00:00,19.801,-156.157,36.0,2.6,Ml,,256,,,hv,hv60461836,1359756774558
2013-02-01T14:07:41.624+00:00,38.391,-119.526,7.4,1.6,ml,,234,,,nn,nn00401500,1359760157153
2013-02-01T14:06:48.240+00:00,35.551,139.958,72.0,4.8,mb,,91,,,us,usc000ezlw,1359777075322
2013-02-01T13:49:49.000+00:00,38.814,-122.819,3.0,2.3,Md,,25,,,nc,nc71933026,1359750727966
2013-02-01T13:48:03.400+00:00,38.816,-122.805,2.3,2.2,Md,,25,,,nc,nc71933021,1359745327592
2013-02-01T13:38:06.000+00:00,37.472,-118.847,9.0,1.9,Md,,122,,,nc,nc71933016,1359728710606
2013-02-01T13:28:15.800+00:00,35.667,-121.073,6.8,3.1,Ml,,90,,,nc,nc71933006,1359771817011
2013-02-01T12:25:16.100+00:00,37.973,-122.037,15.1,1.7,Md,,155,,,nc,nc71932976,1359723430523
2013-02-01T12:18:53.000+00:00,59.984,-153.002,3.3,1.6,Ml,,130,,,ak,ak10648656,1359721323623
2013-02-01T11:14:34.400+00:00,38.823,-122.838,1.0,2.0,Md,,25,,,nc,nc71932931,1359743408882
2013-02-01T11:11:18.900+00:00,38.824,-122.837,1.1,2.0,Md,,36,,,nc,nc71932921,1359719948841
2013-02-01T11:04:44.600+00:00,33.564,-116.649,4.5,1.7,Ml,,79,,,ci,ci15279817,1359716846804
2013-02-01T10:55:26.120+00:00,38.497,142.344,50.7,4.4,mb,,141,,,us,usc000ezl2,1359717891367
2013-02-01T10:54:59.800+00:00,35.799,-120.343,8.8,1.4,Md,,79,,,nc,nc71932911,1359718210578
2013-02-01T10:39:46.190+00:00,-26.560,-178.987,368.1,4.7,mb,,44,,,us,usc000ezkv,1359716909385
2013-02-01T10:35:33.200+00:00,35.791,-120.346,10.0,1.5,Md,,54,,,nc,nc71932901,1359716707646
2013-02-01T10:34:01.600+00:00,35.935,-120.497,10.8,1.1,Md,,108,,,nc,nc71932896,1359714944324
2013-02-01T10:22:21.000+00:00,67.757,-143.777,7.5,3.5,Ml,,223,,,ak,ak10648627,1359746037238
